0.0,1946
0.01,1845
0.0,1648
0.01,1809
0.02,1638
0.03,1799
0.04,1628
0.05,1831
0.06,1792
0.07,1862
0.08,1838
0.09,1918
0.1,1840
0.11,1959
0.12,1809
0.13,1957
0.14,1818
0.15,1948
0.16,1825
0.17,1943
0.18,1835
0.19,1971
0.2,1827
0.21,1946
0.22,1825
0.23,1955
0.24,1806
0.25,1983
0.26,1787
0.27,1999
0.28,1813
0.29,1990
0.3,1810
0.31,1968
0.32,1821
0.33,1970
0.34,1839
0.35,1952
0.36,1815
0.37,1962
0.38,1805
0.39,1983
0.4,1791
0.41,1982
0.42,1776
0.43,2000
0.44,1758
0.45,1985
0.46,1792
0.47,1968
0.48,1829
0.49,1943
0.5,1808
0.51,1982
0.52,1831
0.53,1963
1.352,1973
1.362,1757
1.372,2064
1.382,1746
1.392,2074
1.402,1731
1.412,2064
1.422,1686
1.432,2082
1.442,1728
1.452,2074
1.462,1712
1.633,1921
1.643,1840
1.653,1969
1.663,1819
1.673,1965
1.683,1831
1.693,1969
1.703,1824
1.713,1977
1.723,1821
1.733,1967
1.743,1815
1.753,1968
1.763,1815
1.773,1978
1.783,1799
1.793,1983
1.803,1796
1.813,1978
1.823,1791
1.999,1423
2.009,2339
2.019,1443
2.029,2358
2.039,1436
2.049,2319
2.059,1428
2.069,2327
2.079,1441
2.089,2341
2.099,1436
2.109,2351
2.119,1445
2.129,2339
2.139,1444
2.149,2330
2.159,1447
2.169,2335
2.179,1450
2.189,2339
2.225,2173
2.236,1615
2.246,2207
2.256,1589
2.266,2177
2.276,1606
2.286,2189
2.296,1593
2.306,2193
2.316,1584
2.326,2183
2.336,1584
2.346,2211
2.356,1600
2.366,2213
2.376,1584
2.386,2183
2.396,1606
2.406,2193
2.416,1570
2.473,2081
2.483,1645
2.493,2117
2.503,1645
2.513,2135
2.523,1621
2.533,2128
2.543,1632
2.553,2143
2.563,1616
2.573,2155
2.583,1621
2.593,2151
2.603,1607
2.613,2162
2.623,1638
2.633,2187
2.643,1605
2.653,2199
2.663,1601
2.758,1372
2.769,2382
2.779,1389
2.789,2375
2.799,1375
2.809,2364
2.819,1380
2.829,2369
2.839,1384
2.849,2375
2.859,1389
2.869,2377
2.879,1395
2.889,2387
2.899,1381
2.909,2414
2.919,1405
2.929,2383
2.939,1394
2.949,2397
3.089,2359
3.1,1434
3.11,2359
3.12,1441
3.13,2349
3.14,1434
3.15,2357
3.16,1431
3.17,2351
3.18,1424
3.19,2355
3.2,1434
3.21,2352
3.22,1424
3.23,2363
3.24,1422
3.25,2369
3.26,1429
3.27,2365
